rating,summary,review
5,Awesome,India's best Camara phone & my favorite os vivo funtuch os but ! All performance good ////thanks No 1 online shopping app FlipkartREAD MORE
5,Simply awesome,GoodREAD MORE
3,Does the job,It's good but there is lots of problem in touch and camera is not goodREAD MORE
5,Classy product,its goodREAD MORE
2,Expected a better product,Touch is hard like a 1gb RamREAD MORE
5,Worth every penny,It's a good phoneREAD MORE
5,Fabulous!,ThanksREAD MORE
5,Classy product,AwesomeREAD MORE
5,Brilliant,Light Weight affordable Ultimate look Good Camera Also it's processor amazing performance very best all features which u want it's available in this phone it very economical.Thank You Vivo & FlipkartREAD MORE
5,Awesome,Best phone i have ever seenREAD MORE
2,Moderate,Not faster as per expectation and nothing different from otherREAD MORE
5,Fabulous!,Nice phoneREAD MORE
3,Nice,Not bad productsREAD MORE
3,Good,GoodREAD MORE
5,Excellent,Nice.. over all good mobile at this priceREAD MORE
5,Fabulous!,Excellent performance this productREAD MORE
5,Excellent,GoodREAD MORE
5,Fabulous!,GoodREAD MORE
5,Terrific,AwesomeREAD MORE
5,Terrific purchase,Phone exhalent camera goodREAD MORE
5,Terrific purchase,Good phone in this price segment.READ MORE
5,Classy product,Jabrdast  mobile  must  buy   it   is the best mobile  in this range.READ MORE
3,Good,GoodREAD MORE
5,Awesome,Overall features is very good if you compare with 5G phone at this priceREAD MORE
5,Excellent,Good productsREAD MORE
5,Worth every penny,No doubt absolutely amazing.READ MORE
5,Wonderful,AwesomeREAD MORE
4,Really Nice,All over performance not badCamera department is not bad and every things goodREAD MORE
5,Perfect product!,Very good  productREAD MORE
5,Classy product,Thank vivoREAD MORE
5,Perfect product!,GoodREAD MORE
4,Pretty good,OkREAD MORE
5,Fabulous!,ExcellentREAD MORE
5,Great product,Good productREAD MORE
4,Very Good,Nice phoneREAD MORE
5,Terrific,Great mobileREAD MORE
3,Good,Display touch slow workingREAD MORE
5,Highly recommended,GoodREAD MORE
5,Terrific,Overall a good package. Headset should have been included with 6GB RAM .READ MORE
3,Nice,Very niceREAD MORE
5,Fabulous!,Very NiceREAD MORE
5,Good Budgeted Phone,"Smart, Smart PhoneREAD MORE"
4,Value-for-money,Good phoneREAD MORE
4,Really Nice,"Product is good for using display, speed, camera Light weight phoneREAD MORE"
5,Terrific,It is good enough in this price range... 😊READ MORE
3,Nice,Need betterREAD MORE
5,Worth every penny,Nice phoneREAD MORE
5,Best in the market!,NiceREAD MORE
4,Good quality product,Quality is goodREAD MORE
3,Good,Jst k not bad!READ MORE
5,Terrific purchase,Thanks FlipkartREAD MORE
5,Worth every penny,Good mobile.READ MORE
4,Worth the money,The mobile is good but some issue with back key and touch issueREAD MORE
4,Value-for-money,Not bad go for it...READ MORE
4,Pretty good,Go for itREAD MORE
5,Worth every penny,Very good productREAD MORE
5,Must buy!,Super 👍🙏 phoneREAD MORE
5,Excellent,Prize valueREAD MORE
5,Brilliant,Nice phoneREAD MORE
5,Great product,Good qualityREAD MORE
5,Best in the market!,Very good product i just love itREAD MORE
5,Best in the market!,Very goodREAD MORE
3,Good,"Vivo much better realme or mi Not like Vivo porfamance,READ MORE"
4,Good choice,So gooodREAD MORE
4,Worth the money,Mobile looks is very good...READ MORE
5,Brilliant,Good SmartphoneREAD MORE
5,Just wow!,Nice phoneREAD MORE
4,Very Good,Its ok for the budget smartphone catagory.READ MORE
4,Pretty good,Good  mobile phoneREAD MORE
5,Fabulous!,Nit working properlyREAD MORE
5,Perfect product!,Fabulous purchasingREAD MORE
5,Simply awesome,"I got one problem that is on swipe up touch menu doen not open, after restart it again works......it happen twice..... instead of this everything about this phone is very well......It's camera is very good...night photos are very goodTouch is smoothLooks very beautifulSmooth gaming performanceSpeaker is very good....sound well....READ MORE"
5,Fabulous!,OkREAD MORE
4,Really Nice,Thanks to flipkart such good product sale....READ MORE
4,Pretty good,NiceREAD MORE
5,Super!,Nice producedREAD MORE
5,Mind-blowing purchase,Nice phone and dilevery.. was superb...READ MORE
5,Simply awesome,GoodREAD MORE
5,Excellent,Awesome picture quality and good quality of mobileREAD MORE
5,Great product,Superb ProductREAD MORE
5,Must buy!,Very good qualityREAD MORE
5,Just wow!,ExcellentREAD MORE
5,Super!,Very good superREAD MORE
4,Pretty good,Nice PhoneREAD MORE
5,Best in the market!,Nice productREAD MORE
4,Pretty good,Nice mobileREAD MORE
4,Delightful,"Awesome product, great performanceREAD MORE"
5,Just wow!,GoodREAD MORE
5,Worth every penny,BestREAD MORE
5,Excellent,V gud mobileREAD MORE
5,Great product,Really awesome....best performance....value for money 💰....camera clarity very nice...READ MORE
5,Terrific purchase,Nice productREAD MORE
4,Value-for-money,5 G Range Good One All R GoodREAD MORE
5,Highly recommended,NiceREAD MORE
5,Perfect product!,NiceREAD MORE
5,Awesome,Best ever but touch response is not good......READ MORE
5,Simply awesome,SuperREAD MORE
5,Just wow!,"Nice phone no problem @all good performance for gaming, camera etc ⁢ also have good battery backupWe can play continously almost 8 hours pubg, without lag&heat issueREAD MORE"
2,Moderate,Not bedREAD MORE
5,Super!,Ai phone tar theke amr nokia phone ta vlo 🤣READ MORE
3,Decent product,It's ok ok phone not to wow looking is amezing rest is okayREAD MORE
5,Worth every penny,GoodREAD MORE
5,Must buy!,Gr8 experience with this budget.READ MORE
5,Terrific purchase,GoodREAD MORE
5,Just wow!,Verry niceREAD MORE
5,Worth every penny,Awesome phone from Vivo I like this phone and 💯% satisfied.READ MORE
4,Nice product,Over all. GoodREAD MORE
5,Fabulous!,GoodREAD MORE
4,Worth the money,Total value for money. Good design best battery backup be happy 🙂🙂🙂READ MORE
2,Bad quality,"Display quality is really worst HDD 😡😡, some apps not functioningREAD MORE"
4,Value-for-money,GoodREAD MORE
5,Terrific purchase,GoodREAD MORE
4,Good quality product,I like it cameraREAD MORE
4,Very Good,Few  features only compared with other brand mobile in features same price ...READ MORE
4,Pretty good,GoodREAD MORE
4,Good quality product,GoodREAD MORE
5,Great product,Best budget 5g phoneREAD MORE
5,Classy product,Satisfy this productREAD MORE
5,Super!,Very goodREAD MORE
5,Fabulous!,It's a amazing mobile.READ MORE
5,Classy product,SuperbREAD MORE
5,Simply awesome,Good 👍READ MORE
5,Just wow!,OsmREAD MORE
5,Simply awesome,Super duper phoneREAD MORE
4,Delightful,NiceREAD MORE
5,Terrific purchase,This is an amazing productREAD MORE
5,Highly recommended,NiceREAD MORE
5,Super!,Nice phoneREAD MORE
3,Decent product,Camera is avrg. As declared that 50 mega pixels.READ MORE
5,Super!,Very good quality or nice colour l am happyREAD MORE
5,Perfect product!,SuperREAD MORE
5,Terrific purchase,GreatREAD MORE
5,Worth every penny,I Love to this phoneREAD MORE
5,Super!,NiceREAD MORE
5,Wonderful,Very goodREAD MORE
5,Classy product,Very nice mobileREAD MORE
5,Super!,"Nice looking,  And Great Working,   And wait lessREAD MORE"
3,Nice,Good worth moneyREAD MORE
5,Wonderful,GoodREAD MORE
5,Brilliant,Good 📱READ MORE
5,Wonderful,Value for moneyREAD MORE
4,Nice product,Very good👍READ MORE
4,Good choice,SuperREAD MORE
5,Terrific,Very nice productREAD MORE
5,Fabulous!,Phone is too goodREAD MORE
5,Great product,This device is great 👍READ MORE
4,Good quality product,Camera quality is superb and performance is very goodREAD MORE
5,Terrific,Very goodREAD MORE
5,Terrific purchase,ExcellentREAD MORE
2,Bad quality,Touch screen slow performanceREAD MORE
5,Highly recommended,Good Performance And Loudspeaker niceREAD MORE
5,Just wow!,Fantastic phone ... Cemmra goodPerformance very good for BGIM or free 🔥READ MORE
2,Could be way better,Very goodREAD MORE
5,Terrific,GoodREAD MORE
4,Good quality product,GoodREAD MORE
5,Excellent,Smooth and soft screen it's fell too goodREAD MORE
5,Perfect product!,Fantastic phoneREAD MORE
5,Great product,SupperREAD MORE
3,Fair,Not badREAD MORE
5,Must buy!,Good mobile camera very goodREAD MORE
4,Good quality product,GoodREAD MORE
5,Terrific,Very nice mobileREAD MORE
5,Wonderful,GoodREAD MORE
4,Delightful,Overall best in 5g in thia rangeREAD MORE
5,Highly recommended,Nice product .. looking so good 👍READ MORE
5,Just wow!,Excellent 😊READ MORE
5,Terrific,I love youREAD MORE
2,Not good,Touch not goodREAD MORE
5,Best in the market!,Good quality productREAD MORE
5,Great product,Excellent mobileREAD MORE
4,Very Good,System navigation buttons is not working properly.. other than that phone is good. Need improvement on mobile system navigation(back and navigation buttons).READ MORE
5,Terrific purchase,"This phone is very amazing ,READ MORE"
5,Highly recommended,Very nice smart phoneREAD MORE
4,Value-for-money,Super phoneREAD MORE
4,Value-for-money,Overall good.READ MORE
5,Worth every penny,Awesome mobile just go for it...READ MORE
5,Must buy!,Very good product in this priceREAD MORE
2,Moderate,Camera is puar qualityREAD MORE
5,Just wow!,Gud but camra isnot gud .READ MORE
5,Classy product,Good prodactREAD MORE
5,Terrific,Super fast delivery and top One pisREAD MORE
4,Very Good,NiceREAD MORE
4,Very Good,GoodREAD MORE
4,Really Nice,Camera is goodDisplay is brightFinger print lock is open without press power buttonCharger is goodSound is goodBest part is fun touch osAnd ultra game modeAndroid 12 Only 2+ Ram can extendREAD MORE
5,Must buy!,SuperREAD MORE
5,Perfect product!,Nice product 👌🏻👌🏻READ MORE
5,Terrific,Nice phoneREAD MORE
5,Simply awesome,World  best in this world . In this price owsm phone and looking gourgeousREAD MORE
5,Brilliant,Very nice phoneREAD MORE
5,Super!,Wow outstandingREAD MORE
5,Best in the market!,Such a nice mobile on this priceREAD MORE
5,Awesome,Nice productREAD MORE
5,Best in the market!,Very goodREAD MORE
5,Terrific purchase,Such as a good phone in lowest valueREAD MORE
4,Good quality product,ExcellentREAD MORE
4,Value-for-money,Good mobileREAD MORE
1,Unsatisfactory,Worst and worst phoneREAD MORE
4,Good quality product,GoodREAD MORE
4,Good choice,Nice cameraREAD MORE
4,Worth the money,I like this phone very valuable product and cost is also i likeREAD MORE
5,Highly recommended,Amazing phoneREAD MORE
5,Mind-blowing purchase,NiceREAD MORE
5,Simply awesome,Best Mobile By Vivo...READ MORE
5,Best in the market!,GoodREAD MORE
4,Really Nice,OkREAD MORE
5,Great product,Good productREAD MORE
4,Worth the money,Good Product.READ MORE
5,Excellent,Slim and nice phone with a gud camera quality and powerful battery backupREAD MORE
3,Nice,No thanksREAD MORE
5,Worth every penny,AwesomeREAD MORE
5,Perfect product!,Nice product..READ MORE
5,Highly recommended,Looking nice low weightREAD MORE
5,Brilliant,I love itREAD MORE
5,Just wow!,"Nice phone with nice camera,nice battery performance,processor is too good,phone design is very well and slim.But only one thing is not good front camera position.(Using from 24th March 2022).I recommend to buy 6/128 .READ MORE"
4,Delightful,Moderate type phone..READ MORE
4,Nice product,Nice productREAD MORE
5,Awesome,Most wonderful phone and  processing is the very High and smartREAD MORE
5,Brilliant,OkREAD MORE
5,Great product,GoodREAD MORE
5,Super!,product is awesomeREAD MORE
4,Delightful,Touch screen is not as expected. However overall phone is good at reasonable price.READ MORE
3,Just okay,"1.Design-4/5- Nice design, plastic body.2.performance-4/5- good performance .. smooth touch.3.camera-2/5- very bad camera...4.battery - 3/5- battery backup is not good...5.fast charge-3/5- 2hours for full charge....not fastOverall performance-3/5....not recommended....READ MORE"
4,Good quality product,GoodREAD MORE
4,Worth the money,"Mobaile is good, you can buy it.READ MORE"
5,Wonderful,SuperbREAD MORE
5,Worth every penny,Good mobile strong battery backup upto 2days medium usageREAD MORE
5,Mind-blowing purchase,Good one .... display and performance are so GoodREAD MORE
5,Mind-blowing purchase,Very good phoneREAD MORE
5,Perfect product!,Nice mobileREAD MORE
5,Wonderful,Super productREAD MORE
4,Really Nice,So good i like thisREAD MORE
4,Wonderful,NiceREAD MORE
4,Nice product,NiceREAD MORE
5,Terrific,Excellint productREAD MORE
5,Mind-blowing purchase,Very good 5G mobile product in this price.READ MORE
5,Worth every penny,It's awesome productREAD MORE
5,Mind-blowing purchase,ExcellentREAD MORE
5,Brilliant,Good phone and Battery backupREAD MORE
5,Fabulous!,Very nice productREAD MORE
5,Simply awesome,Awesome phoneREAD MORE
5,Just wow!,VERI NICR GOOD MOMENTREAD MORE
3,Does the job,Touch screen is not working properlyREAD MORE
5,Simply awesome,NICE PHONEREAD MORE
4,Nice product,Vry nice mobileREAD MORE
4,Really Nice,I am using 7 days really beautiful vivo t1 super phoneREAD MORE
5,Fabulous!,AmazingREAD MORE
5,Excellent,Fast charging bast performance  nice product 😊READ MORE
5,Perfect product!,Good style superREAD MORE
5,Great product,I got my mobile vivo T1 by flipcart it's good. Rear Camera quality is the best. Selfi camera is not so good but nice. Delivery so fast alround it is the best in 5g  in low rate.READ MORE
3,Does the job,Nice mobail luckREAD MORE
5,Perfect product!,It is good but not extremely goodREAD MORE
5,Brilliant,Amazing 5g mobile.nice cameraREAD MORE
5,Highly recommended,"Good looking phone ,but front camera quality is not so good in this priceREAD MORE"
1,Did not meet expectations,Phone app/Dailer Message appContact this all aap are badly work.Third party app not working better.READ MORE
5,Great product,Perfect phoneREAD MORE
2,Could be way better,Apps not workingREAD MORE
5,Mind-blowing purchase,Need to press  navigation keys with some pressureRest everything is worthREAD MORE
5,Highly recommended,Very good productREAD MORE
5,Best in the market!,It's goodREAD MORE
5,Perfect product!,Very niceREAD MORE
5,Great product,Good product vivo&Fast deliveryREAD MORE
4,Good choice,Vivo mobile camera awesomeREAD MORE
5,Worth every penny,It's amezing and very good in performanceREAD MORE
4,Wonderful,GoodREAD MORE
3,Decent product,Screen pad something getting hangREAD MORE
4,Value-for-money,It's good in worth price..READ MORE
4,Delightful,Nice phoneREAD MORE
5,Awesome,Good productREAD MORE
3,Decent product,Display touch is very worst and very slow and waste for this money .suggest not to go with this mobileREAD MORE
3,Does the job,"I am expecting in dual sim and sd card. But this mobile is not accept. And camera quality is normal, battery backup is normal .touch working in slow. Value for money3/5READ MORE"
5,Wonderful,Nic tq Flipkart 😃😘READ MORE
5,Brilliant,Osm looking smartREAD MORE
3,Just okay,Touch is not responsive and very hard to useREAD MORE
4,Good quality product,Nice phoneREAD MORE
5,Best in the market!,This mobile is very much goodREAD MORE
4,Very Good,Ok. But we're waiting for a month to again review.READ MORE
5,Highly recommended,Nice phn camera good batter good Flipkart service is betterREAD MORE
5,Excellent,Very goodREAD MORE
5,Simply awesome,Must buy product!READ MORE
4,Good quality product,NiceREAD MORE
5,Brilliant,Very nicre beautiful designREAD MORE
5,Best in the market!,Nice product then good camara quality and display is equal quantity of amalod.READ MORE
4,Nice product,I love it full paisa vasul everything is goodREAD MORE
5,Perfect product!,Nic phoneREAD MORE
5,Terrific purchase,SuperREAD MORE
4,Good choice,Very good pordadactREAD MORE
3,Just okay,Lot of laging problemREAD MORE
5,Must buy!,Overall is goodREAD MORE
4,Really Nice,Very nice Phone Thank You FlipkartREAD MORE
5,Wonderful,Best product for meVery nice 🙂SuperVery good productREAD MORE
4,Good choice,Super mobileREAD MORE
5,Wonderful,GoodREAD MORE
4,Wonderful,Nice budget phoneREAD MORE
4,Delightful,gudREAD MORE
5,Brilliant,Very goodREAD MORE
4,Very Good,Good..READ MORE
5,Worth every penny,Nice phoneREAD MORE
5,Great product,"It's good phone,READ MORE"
4,Worth the money,Good camera & battery backup very good.but touch display not satisfiedREAD MORE
5,Simply awesome,Simply asamREAD MORE
5,Best in the market!,Osam fone delevey boy very polite and fast thank uREAD MORE
5,Best in the market!,"Phone design are to good , it's feel to good in handREAD MORE"
4,Very Good,I was waiting for a best mobile when it was launching.i saw its fetchers was too good today I get it. I am fully satisfied.  Good camera quality..READ MORE
4,Worth the money,GoodREAD MORE
5,Highly recommended,Nice phone budgut phone excellent performanceREAD MORE
5,Just wow!,Really goodREAD MORE
5,Perfect product!,Very nice performance thanks to vivoREAD MORE
4,Very Good,For avg user its good phone. Heavy choose other phoneREAD MORE
5,Awesome,NiceREAD MORE
4,Really Nice,Touch is very hardREAD MORE
5,Highly recommended,Best phone 📱📱READ MORE
5,Worth every penny,SuperREAD MORE
5,Worth every penny,Best phoneREAD MORE
4,Nice product,Good product good performance i love vivoREAD MORE
5,Wonderful,nice productREAD MORE
5,Brilliant,Awesome Mobile 📱READ MORE
5,Mind-blowing purchase,Really awesome mobile thanks vivo and seller and  ery rhanks to flipkartREAD MORE
4,Really Nice,Really good product. Camera is good performance is good overall cheap & best phone .READ MORE
5,Classy product,Nice Products this range owsomeREAD MORE
5,Highly recommended,Value for moneyREAD MORE
4,Really Nice,Very nice phone but charging issue slow chargingREAD MORE
4,Very Good,Even the phone is very good in performanceAs Iam not such a heavy user but I haven't noticed any lags in shifting in between apps.It can handle daily tasks perfect with out any laggingEven the touch sampling rate is perfectLooking:killer with boxy Design and cameras are also look good in design.and back panel is shinning with change in colour when exposed to light speaker- as it comes with single speaker ok goodDisplay -brightness in day light and low light enough no problemBack camera...READ MORE
4,Pretty good,Phone has a very good design and looks stylish. The camera is good with its pro photography features. The delivery take too long for being a plus member but its vanish the wait time to use the good phoneREAD MORE
4,Wonderful,Phone is good. Missing ultra wide camera a lot.READ MORE
5,Wonderful,Very fine owo🙈🙈🙈🙈READ MORE
5,Just wow!,GoodREAD MORE
5,Must buy!,GoodREAD MORE
5,Must buy!,Osme mobileREAD MORE
4,Really Nice,Phone is goodREAD MORE
5,Worth every penny,GoodREAD MORE
4,Pretty good,NiceREAD MORE
5,Best in the market!,"PROS1. camera performaces good2.battery backup3. Dispaly touch nice4. Better gaming experience 😉 5. Good 5g processor snap 695 performance highlight6.  Good touch experience7. Good signal strength8 mainly slim and premium design it's looking very nice 👍👍👍👍CONS1.charging 18w only2.in some cases navigation keys little bit hard to pressFINALLY A FANTASTIC MOBILE IN THIS PRICE IN BRANDED OF VIVO🥰😍🤩🤩🥳🥳 ""* This navigation keys issues and touch issuees are solved by software ...READ MORE"
5,Great product,Best modelREAD MORE
5,Mind-blowing purchase,I purchased it on the first day and I got very nice phone in my budget. Camera is very good.READ MORE
5,Simply awesome,Nice phoneREAD MORE
5,Fabulous!,Satisfied with purchaseREAD MORE
4,Good quality product,Camera osm 📸Display good 👋 Value for money 💷Over all goodThanQ flipkart 😊❣️READ MORE
5,Just wow!,GoodREAD MORE
5,Classy product,Just osm thanks flipkartREAD MORE
4,Wonderful,A good all-rounder 5G mobileREAD MORE
4,Pretty good,Camera good. Battery satisfactory. Sound quality needs improvement.READ MORE
5,Awesome,Awesome PhoneREAD MORE
5,Excellent,Phone performance is very goodREAD MORE
5,Classy product,Best Price and Best ModelREAD MORE
5,Just wow!,best phoneREAD MORE
5,Wonderful,Thank youREAD MORE
5,Terrific,Good  parfamanceREAD MORE
5,Terrific purchase,Every thing is good 👍 but the sound quality is not good battery 🔋 backup is nice I really like this Vivo mobile 📲📱READ MORE
5,Highly recommended,GoodREAD MORE
4,Worth the money,Ok 👌READ MORE
4,Delightful,Value for money I am happy 😊READ MORE
4,Wonderful,Good phoneREAD MORE
5,Classy product,Good mobileREAD MORE
3,Decent product,"mobile is not proper working, Touch sencer is slow, network problem.READ MORE"
5,Awesome,Good phone in budgetREAD MORE
4,Very Good,Good phone with decent options within bidgetREAD MORE
4,Worth the money,Good.READ MORE
5,Highly recommended,Best phonREAD MORE
5,Best in the market!,Nice cameraREAD MORE
5,Perfect product!,Super mobile Every thing goodREAD MORE
5,Worth every penny,OkREAD MORE
3,Fair,Sound quality poor touch also not working properlyREAD MORE
4,Good choice,Good toREAD MORE
5,Best in the market!,"I really like this phone and i am happy, Thank you BabaREAD MORE"
5,Super!,The phone is awesome 👍👍READ MORE
5,Mind-blowing purchase,"Camera just wow, performance just wow, Battery service mind blowing, Mobile is very goodREAD MORE"
5,Terrific purchase,"Camera good , working smooth n fast,latest 5g works like 5gREAD MORE"
5,Highly recommended,Awesome mobile under the valueREAD MORE
5,Classy product,OkREAD MORE
5,Awesome,OkREAD MORE
4,Good choice,Nice vivo phone  I will recieve my phone today all are good but touch sensor motion is slow.flipkart is very helpful to easy shopping 🛒 tqREAD MORE
5,Classy product,GoodREAD MORE
5,Brilliant,OkREAD MORE
5,Brilliant,OkREAD MORE
4,Pretty good,Best mobile Flipkart thank youREAD MORE
5,Mind-blowing purchase,SuperREAD MORE
5,Terrific,NiceREAD MORE
5,Super!,This is very nice product.Worth of money 💰READ MORE
1,Very poor,Touch not working at the notification barREAD MORE
4,Wonderful,To good phoneREAD MORE
5,Mind-blowing purchase,Very good  I very 😊READ MORE
5,Excellent,Cool 😎😎READ MORE
5,Terrific,Good value for moneyREAD MORE
4,Delightful,i love vivo online phonesI have vivo z1pro Better upgrade to this phone value for moneynote this some times touch response Is very bad I hope update this issue...READ MORE
4,Really Nice,Everything's Good PerformancesREAD MORE
3,Just okay,GoodREAD MORE
4,Good choice,"not happy with the 18W charger that's included in the box, should have been fast charger rest everything thing is good about the phone. New processor, camera, the screen everything is fine, can't ask for more at this price point. good budget phone with all round performance.READ MORE"
4,Good choice,Good quality value of moneyThanks flipkart teamREAD MORE
1,Useless product,Nice phoneREAD MORE
5,Terrific purchase,Awesome phone good performanceValue for money.Vivo phone is my all time favorite.READ MORE
4,Good choice,Overall good mobile in this price rangeREAD MORE
3,Good,"Touch screen not properly working , we touching more time then after only going back or forward so , it is only improper in the mobile . I will expect , the mobile is very fast , but it dissatisfied me.READ MORE"
5,Awesome,"Phone is very good Camera is good , Network working properly , display also very good but touch is average not much good Battery performance is very good but charging very slowly not feel like fast charger.READ MORE"
4,Really Nice,good mobile in this price 👍READ MORE
4,Pretty good,Excellent  very happy with the product It looks cool and stylishREAD MORE
4,Very Good,Nice mobile but there is only one sim slotREAD MORE
5,Best in the market!,SuperbREAD MORE
5,Classy product,Nice productREAD MORE
5,Best in the market!,HappyREAD MORE
3,Decent product,"1.this is budget friendly smart phone loaded with all basic requirements2. It works fine,camera is brilliant3. Refresh rate is good4. Good for gaming too5. It works well for multi tasking.it has  negatives too1. Phone is very bulky,& heavy unlike other Vivo phones. If you are in bed nd use it for an hour or so you will get tired2. Display/visibility in day light is very poor. 3.Size of this phone is too big to carry in jeans pocket.Conclusion: at almost same range there's redmi 11S...READ MORE"
5,Must buy!,Nice mobileREAD MORE
4,Delightful,Very good product and very usefulREAD MORE
5,Mind-blowing purchase,nice phoneREAD MORE
5,Super!,NiceREAD MORE
5,Excellent,I like vivo productREAD MORE
5,Highly recommended,AwesomeREAD MORE
5,Classy product,worth for MoneyREAD MORE
5,Mind-blowing purchase,GoodREAD MORE
5,Terrific purchase,Good condition and best off priceREAD MORE
4,Really Nice,Best phone in this priceREAD MORE
5,Wonderful,Best in this segmentREAD MORE
5,Worth every penny,Very good and nice products by flipkart and vivoREAD MORE
5,Classy product,Nice phoneREAD MORE
5,Highly recommended,Good performance according his priceREAD MORE
5,Terrific purchase,Awsm and wonderful mobile ❣️❣️READ MORE
5,Super!,Best budget phone and performance centric and also have the 5g option though 5g service are yet to start but the processor is altogether new can be compared with snapdragon 76. No lagging in BGM or any other game. Good in multitasking.READ MORE
5,Worth every penny,Best mobile under 20kREAD MORE
5,Highly recommended,Good For Normal UseREAD MORE
4,Good quality product,goodREAD MORE
5,Fabulous!,"good product , camara is goodREAD MORE"
5,Terrific,Just ausmmm phoneREAD MORE
5,Awesome,SuperREAD MORE
4,Wonderful,V goodREAD MORE
5,Classy product,I like this phone I am very happy to used this phone bast productCamera quality is best productREAD MORE
5,Fabulous!,GoodREAD MORE
5,Simply awesome,Best phone in this price segmentREAD MORE
5,Awesome,SuperREAD MORE
5,Fabulous!,Good One for mid rangeREAD MORE
5,Great product,very good phone with this price rangeREAD MORE
5,Super!,Nice product / bateery /camera /proseser Amazing  But 1 problem back butoom proper not working please vivo soldout this problem 1 updateREAD MORE
5,Perfect product!,Nice phone 🤠🤠READ MORE
5,Just wow!,Very nice productREAD MORE
5,Wonderful,"After five days review..Best product in the rangeProsGood design, camera, battery , performanceConsFast charging not thereOverall 4.5/5READ MORE"
5,Must buy!,Very very nice 👍😊👌READ MORE
4,Good quality product,OkREAD MORE
5,Awesome,NiceREAD MORE
5,Classy product,very niceREAD MORE
5,Excellent,Worth to buyREAD MORE
5,Classy product,OkREAD MORE
5,Mind-blowing purchase,Good productREAD MORE
5,Worth every penny,Good productREAD MORE
5,Super!,Nice phoneREAD MORE
5,Worth every penny,osm camera Value of money go for it❤️👍READ MORE
4,Value-for-money,Overall is a good phone. The concern is just of the battery charger which is of 18 Watt.READ MORE
5,Simply awesome,BrilliantREAD MORE
5,Wonderful,The phone is very good.READ MORE
5,Brilliant,Battery - OKDisplay - OKPerformance - Mind blowing Camera - GoodREAD MORE
5,Best in the market!,Excellent product ❤️ camera is so good and the display's refresh rate performance is so goodREAD MORE
5,Terrific,"I got it in 2 days, so very happy with this service and mobile phone. Rainbow fantasy color is superb. This premium look is killer. Camera and battery backup is better. I m fully satisfied with the purchase of vivo T1. There is no one like this. Thanks to vivo and Flipkart.READ MORE"
